Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Sample domain number (if >1 domain),Sample domain name (if >1 domain),Domain relative abundance [%],Lithology Prefix,Lithology Principal name,Lithology Suffix,Lith. prefix+name+suffix,Lithological Accessories 1,Lithological Accessories 2,Lithology color,Layer/Beddding, Lamination,Grading,Other sedimentary feature,Layer or bedding thickness,Lithology avg. grain size ,Lithology avg. grain size rank,Diagenetic constituent,Diagenetic constituent composition,Bioturbation intensity,Bioturbation intensity rank,General interval comment,Bottom contact or boundary type,Bottom contact geometry,Bottom contact definition,Clasts abundance,Clasts [%],Clast -  grain size,Diagenetic structure,Macrofossil,Macrofossil abundance name,Lithology prefix + name,Lithology name+suffix,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
371-U1510A-7H-5-A,0.0,26.0,58.52,58.78,,,,,,nannofossil ooze,with foraminifers [2014],nannofossil ooze with foraminifers,,,N 8 (white),,,,,,silt [W22_1],2,,,slight [B06],2,Within this interval slumping appears to have occurred.,sharp boundary or contact,,sharp,,,,,,,nannofossil ooze,nannofossil ooze with foraminifers,,,,371,U1510,A,7,H,5,A
371-U1510A-7H-5-A,26.0,50.0,58.78,59.02,,,,,,foraminiferal ooze,with nannofossils [2014],foraminiferal ooze with nannofossils,,,N 8 (white),bed,,,,,fine sand [W22_2],4,,,absent,0,,sharp boundary or contact,,sharp,,,,,,,foraminiferal ooze,foraminiferal ooze with nannofossils,,,,371,U1510,A,7,H,5,A
371-U1510A-7H-5-A,50.0,150.0,59.02,60.02,,,,,,nannofossil ooze,with foraminifers [2014],nannofossil ooze with foraminifers,,,N 8 (white),,,,,,silt [W22_1],2,,,slight [B06],2,,,,,,,,,,,nannofossil ooze,nannofossil ooze with foraminifers,,,,371,U1510,A,7,H,5,A
371-U1510A-7H-6-A,0.0,102.0,60.02,61.04,,,,,,nannofossil ooze,with foraminifers [2014],nannofossil ooze with foraminifers,,,N 9 (white),,,,,,silt [W22_1],2,,,slight [B06],2,,,,,,,,,,,nannofossil ooze,nannofossil ooze with foraminifers,,,,371,U1510,A,7,H,6,A
371-U1510A-7H-6-A,102.0,141.0,61.04,61.43,,,,,,nannofossil ooze,,nannofossil ooze,,,N 9 (white),,,,,,silt [W22_1],2,,,slight [B06],2,,,,,,,,,,,nannofossil ooze,nannofossil ooze,,,,371,U1510,A,7,H,6,A
371-U1510A-7H-7-A,0.0,47.0,61.48,61.95,,,,,,nannofossil ooze,,nannofossil ooze,,,N 9 (white),,,,,,silt [W22_1],2,,,slight [B06],2,,,,,,,,,,,nannofossil ooze,nannofossil ooze,,,,371,U1510,A,7,H,7,A
371-U1510A-7H-CC-A,0.0,21.0,61.95,62.16,,,,,,nannofossil ooze,,nannofossil ooze,,,N 9 (white),,,,,,silt [W22_1],2,,,slight [B06],2,,,,,,,,,,,nannofossil ooze,nannofossil ooze,,,,371,U1510,A,7,H,CC,A
371-U1510A-8H-1-A,0.0,39.0,62.0,62.39,,,,,,nannofossil ooze,,nannofossil ooze,,,N 9 (white),,,,,,silt [W22_1],2,,,slight [B06],2,,,,,,,,,,,nannofossil ooze,nannofossil ooze,,,,371,U1510,A,8,H,1,A
371-U1510A-8H-1-A,59.0,128.0,62.59,63.28,,,,,,nannofossil ooze,,nannofossil ooze,,,N 9 (white),,,,,,silt [W22_1],2,,,slight [B06],2,,,,,,,,,,,nannofossil ooze,nannofossil ooze,,,,371,U1510,A,8,H,1,A
371-U1510A-8H-2-A,0.0,83.0,63.38,64.21,,,,,,nannofossil ooze,,nannofossil ooze,,,N 9 (white),,,,,,silt [W22_1],2,,,slight [B06],2,,sharp boundary or contact,planar,,,,,,,,nannofossil ooze,nannofossil ooze,,,,371,U1510,A,8,H,2,A
371-U1510A-8H-2-A,83.0,94.0,64.21,64.32,,,,,,foraminiferal ooze,,foraminiferal ooze,,,N 9 (white),bed,,,,,fine sand [W22_2],4,,,absent,0,,sharp boundary or contact,planar,,,,,,,,foraminiferal ooze,foraminiferal ooze,,,,371,U1510,A,8,H,2,A
371-U1510A-8H-2-A,94.0,112.0,64.32,64.5,,,,,,nannofossil ooze,,nannofossil ooze,,,N 9 (white),,,,,,silt [W22_1],2,,,slight [B06],2,,irregular boundary or contact,,,,,,,,,nannofossil ooze,nannofossil ooze,,,,371,U1510,A,8,H,2,A
371-U1510A-8H-2-A,112.0,121.0,64.5,64.59,,,,,,foraminiferal ooze,,foraminiferal ooze,,,N 9 (white),bed,,,,,fine sand [W22_2],4,,,absent,0,,irregular boundary or contact,,,,,,,,,foraminiferal ooze,foraminiferal ooze,,,,371,U1510,A,8,H,2,A
371-U1510A-8H-2-A,121.0,150.0,64.59,64.88,,,,,,nannofossil ooze,,nannofossil ooze,,,N 9 (white),,,,,,silt [W22_1],2,,,slight [B06],2,,,,,,,,,,,nannofossil ooze,nannofossil ooze,,,,371,U1510,A,8,H,2,A
371-U1510A-8H-3-A,0.0,22.0,64.88,65.1,,,,,,nannofossil ooze,,nannofossil ooze,,,N 9 (white),,,,,,silt [W22_1],2,,,slight [B06],2,,irregular boundary or contact,,,,,,,,,nannofossil ooze,nannofossil ooze,,,,371,U1510,A,8,H,3,A
371-U1510A-8H-3-A,22.0,32.0,65.1,65.2,,,,,,foraminiferal ooze,,foraminiferal ooze,,,N 9 (white),bed,,,,,fine sand [W22_2],4,,,absent,0,,undulating or wavy boundary or contact [BJ80],,,,,,,,,foraminiferal ooze,foraminiferal ooze,,,,371,U1510,A,8,H,3,A
371-U1510A-8H-3-A,32.0,101.0,65.2,65.89,,,,,,nannofossil ooze,with foraminifers [2014],nannofossil ooze with foraminifers,,,N 9 (white),,,,,,silt [W22_1],2,,,slight [B06],2,,gradational boundary or contact,,,,,,,,,nannofossil ooze,nannofossil ooze with foraminifers,,,,371,U1510,A,8,H,3,A
371-U1510A-8H-3-A,101.0,117.0,65.89,66.05,,,,,,foraminiferal ooze,,foraminiferal ooze,,,N 9 (white),bed,,,,,fine sand [W22_2],4,,,absent,0,,gradational boundary or contact,,,,,,,,,foraminiferal ooze,foraminiferal ooze,,,,371,U1510,A,8,H,3,A
371-U1510A-8H-3-A,117.0,150.0,66.05,66.38,,,,,foraminiferal,nannofossil ooze,,foraminiferal nannofossil ooze,,,N 9 (white),,,,,,silt [W22_1],2,,,slight [B06],2,,gradational boundary or contact,,,,,,,,,foraminiferal nannofossil ooze,nannofossil ooze,,,,371,U1510,A,8,H,3,A
371-U1510A-8H-4-A,0.0,48.5,66.38,66.865,,,,,foraminiferal,nannofossil ooze,,foraminiferal nannofossil ooze,,,n 8.5 (white),,,,,,silt [W22_1],2,,,sparse [B06],1,Distinct interval of a blue-ish grey tint in upper 5 cm of core. Subtle thin laminations between light grey to darker grey are observed between 39-44cm.,,,,,,,,,,foraminiferal nannofossil ooze,nannofossil ooze,,,,371,U1510,A,8,H,4,A
371-U1510A-8H-4-A,48.5,109.0,66.865,67.47,,,,,,foraminiferal ooze,,foraminiferal ooze,,,N 9 (white),bed,,,,,medium sand [W22_2],5,,,absent,0,foraminiferal ooze (sand sized) with black and greenish-grey and brown clasts (very fine- to fine-sand sized) spread throughout this interval.,,,,,,,,,,foraminiferal ooze,foraminiferal ooze,,,,371,U1510,A,8,H,4,A
371-U1510A-8H-5-A,0.0,101.0,67.47,68.48,,,,,,foraminiferal ooze,,foraminiferal ooze,,,N 9 (white),bed,,,,,medium sand [W22_2],5,,,absent,0,foraminiferal ooze (sand sized) with black and greenish-grey and brown clasts (very fine- to fine-sand sized) spread throughout this interval.,,,,,,,,,,foraminiferal ooze,foraminiferal ooze,,,,371,U1510,A,8,H,5,A
371-U1510A-8H-6-A,0.0,110.0,68.48,69.58,,,,,,foraminiferal ooze,,foraminiferal ooze,,,N 9 (white),bed,,,,,medium sand [W22_2],5,,,absent,0,foraminiferal ooze (sand sized) with black and greenish-grey and brown clasts (very fine- to fine-sand sized) spread throughout this interval.,,,,,,,,,,foraminiferal ooze,foraminiferal ooze,,,,371,U1510,A,8,H,6,A
371-U1510A-8H-7-A,0.0,55.0,69.64,70.19,,,,,,foraminiferal ooze,,foraminiferal ooze,,,N 9 (white),bed,,,,,medium sand [W22_2],5,,,absent,0,foraminiferal ooze (sand sized) with black and greenish-grey and brown clasts (very fine- to fine-sand sized) spread throughout this interval.,,,,,,,,,,foraminiferal ooze,foraminiferal ooze,,,,371,U1510,A,8,H,7,A
371-U1510A-9H-1-A,0.0,127.0,71.5,72.77,,,,,,foraminiferal ooze,,foraminiferal ooze,,,N 9 (white),bed,,,,,medium sand [W22_2],5,,,absent,0,,sharp boundary or contact,,diffuse,,,,,,,foraminiferal ooze,foraminiferal ooze,,,,371,U1510,A,9,H,1,A
371-U1510A-9H-2-A,0.0,150.0,72.82,74.32,,,,,,nannofossil ooze,with foraminifers [2014],nannofossil ooze with foraminifers,,,N 9 (white),,,,,,silt [W22_1],2,,,slight [B06],2,,,,,,,,,,,nannofossil ooze,nannofossil ooze with foraminifers,,,,371,U1510,A,9,H,2,A
371-U1510A-9H-3-A,0.0,150.0,74.32,75.82,,,,,,nannofossil ooze,with foraminifers [2014],nannofossil ooze with foraminifers,,,N 9 (white),,,,,,silt [W22_1],2,,,slight [B06],2,,,,,,,,,,,nannofossil ooze,nannofossil ooze with foraminifers,,,,371,U1510,A,9,H,3,A
371-U1510A-9H-4-A,0.0,150.0,75.82,77.32,,,,,,nannofossil ooze,with foraminifers [2014],nannofossil ooze with foraminifers,,,N 9 (white),,,,,,silt [W22_1],2,,,slight [B06],2,,,,,,,,,,,nannofossil ooze,nannofossil ooze with foraminifers,,,,371,U1510,A,9,H,4,A
371-U1510A-9H-5-A,0.0,150.0,77.32,78.82,,,,,,nannofossil ooze,with foraminifers [2014],nannofossil ooze with foraminifers,,,N 9 (white),,,,,,silt [W22_1],2,,,slight [B06],2,very thin green laminae at ~115cm,,,,,,,,,,nannofossil ooze,nannofossil ooze with foraminifers,,,,371,U1510,A,9,H,5,A
371-U1510A-9H-6-A,0.0,145.0,78.82,80.27,,,,,,nannofossil ooze,with foraminifers [2014],nannofossil ooze with foraminifers,,,N 9 (white),,,,,,silt [W22_1],2,,,slight [B06],2,dark green blebs at ~41cm. Pyritic ?,,,,,,,,,,nannofossil ooze,nannofossil ooze with foraminifers,,,,371,U1510,A,9,H,6,A
371-U1510A-9H-7-A,0.0,64.0,80.32,80.96,,,,,,nannofossil ooze,with foraminifers [2014],nannofossil ooze with foraminifers,,,N 9 (white),,,,,,silt [W22_1],2,,,slight [B06],2,,,,,,,,,,,nannofossil ooze,nannofossil ooze with foraminifers,,,,371,U1510,A,9,H,7,A
371-U1510A-9H-CC-A,0.0,8.0,80.96,81.04,,,,,,nannofossil ooze,with foraminifers [2014],nannofossil ooze with foraminifers,,,N 9 (white),,,,,,silt [W22_1],2,,,slight [B06],2,,,,,,,,,,,nannofossil ooze,nannofossil ooze with foraminifers,,,,371,U1510,A,9,H,CC,A
371-U1510A-10H-1-A,0.0,145.0,81.0,82.45,,,,,foraminiferal,nannofossil ooze,,foraminiferal nannofossil ooze,,,N 9 (white),,,,,,silt [W22_1],2,,,absent,0,,,,,,,,,,,foraminiferal nannofossil ooze,nannofossil ooze,,,,371,U1510,A,10,H,1,A
371-U1510A-10H-2-A,0.0,150.0,82.5,84.0,,,,,foraminiferal,nannofossil ooze,,foraminiferal nannofossil ooze,,,N 9 (white),,,,,,silt [W22_1],2,,,absent,0,,,,,,,,,,,foraminiferal nannofossil ooze,nannofossil ooze,,,,371,U1510,A,10,H,2,A
371-U1510A-10H-3-A,0.0,150.0,84.0,85.5,,,,,foraminiferal,nannofossil ooze,,foraminiferal nannofossil ooze,,,N 9 (white),,,,,,silt [W22_1],2,,,absent,0,"Abundant thin green laminae, especially in bottom half of section",,,,,,,,,,foraminiferal nannofossil ooze,nannofossil ooze,,,,371,U1510,A,10,H,3,A
371-U1510A-10H-4-A,0.0,150.0,85.5,87.0,,,,,foraminiferal,nannofossil ooze,,foraminiferal nannofossil ooze,,,N 9 (white),,,,,,silt [W22_1],2,,,absent,0,Several thin green laminae,,,,,,,,,,foraminiferal nannofossil ooze,nannofossil ooze,,,,371,U1510,A,10,H,4,A
371-U1510A-10H-5-A,0.0,150.0,87.0,88.5,,,,,foraminiferal,nannofossil ooze,,foraminiferal nannofossil ooze,,,N 9 (white),,,,,,silt [W22_1],2,,,absent,0,Several thin green laminae,,,,,,,,,,foraminiferal nannofossil ooze,nannofossil ooze,,,,371,U1510,A,10,H,5,A
371-U1510A-10H-6-A,0.0,145.0,88.5,89.95,,,,,foraminiferal,nannofossil ooze,,foraminiferal nannofossil ooze,,,N 9 (white),,,,,,silt [W22_1],2,,,absent,0,Several thin green laminae,,,,,,,,,,foraminiferal nannofossil ooze,nannofossil ooze,,,,371,U1510,A,10,H,6,A
371-U1510A-10H-7-A,0.0,74.0,90.0,90.74,,,,,foraminiferal,nannofossil ooze,,foraminiferal nannofossil ooze,,,N 9 (white),,,,,,silt [W22_1],2,,,absent,0,,,,,,,,,,,foraminiferal nannofossil ooze,nannofossil ooze,,,,371,U1510,A,10,H,7,A
371-U1510A-10H-CC-A,0.0,22.0,90.74,90.96,,,,,foraminiferal,nannofossil ooze,,foraminiferal nannofossil ooze,,,N 9 (white),,,,,,silt [W22_1],2,,,absent,0,,,,,,,,,,,foraminiferal nannofossil ooze,nannofossil ooze,,,,371,U1510,A,10,H,CC,A
371-U1510A-11H-1-A,0.0,145.0,90.5,91.95,,,,,foraminiferal,nannofossil ooze,,foraminiferal nannofossil ooze,,,N 9 (white),,,,,,silt [W22_1],2,,,absent,0,"pyritic blebs at 14, 62, 81, and 96cm",,,,,,,,,,foraminiferal nannofossil ooze,nannofossil ooze,,,,371,U1510,A,11,H,1,A
371-U1510A-11H-2-A,0.0,150.0,92.0,93.5,,,,,foraminiferal,nannofossil ooze,,foraminiferal nannofossil ooze,,,N 9 (white),,,,,,silt [W22_1],2,,,absent,0,thin green laminae at 85cm. pyritic blebs at ~115cm,,,,,,,,,,foraminiferal nannofossil ooze,nannofossil ooze,,,,371,U1510,A,11,H,2,A
371-U1510A-11H-3-A,0.0,150.0,93.5,95.0,,,,,foraminiferal,nannofossil ooze,,foraminiferal nannofossil ooze,,,N 9 (white),,,,,,silt [W22_1],2,,,absent,0,thin dark grey laminae at 127cm,,,,,,,,,,foraminiferal nannofossil ooze,nannofossil ooze,,,,371,U1510,A,11,H,3,A
371-U1510A-11H-4-A,0.0,150.0,95.0,96.5,,,,,foraminiferal,nannofossil ooze,,foraminiferal nannofossil ooze,,,N 9 (white),,,,,,silt [W22_1],2,,,absent,0,,,,,,,,,,,foraminiferal nannofossil ooze,nannofossil ooze,,,,371,U1510,A,11,H,4,A
371-U1510A-11H-5-A,0.0,150.0,96.5,98.0,,,,,foraminiferal,nannofossil ooze,,foraminiferal nannofossil ooze,,,N 9 (white),,,,,,silt [W22_1],2,,,absent,0,Several thin green laminae,,,,,,,,,,foraminiferal nannofossil ooze,nannofossil ooze,,,,371,U1510,A,11,H,5,A
371-U1510A-11H-6-A,0.0,145.0,98.0,99.45,,,,,foraminiferal,nannofossil ooze,,foraminiferal nannofossil ooze,,,N 9 (white),,,,,,silt [W22_1],2,,,absent,0,Several thin green laminae,,,,,,,,,,foraminiferal nannofossil ooze,nannofossil ooze,,,,371,U1510,A,11,H,6,A
371-U1510A-11H-7-A,0.0,71.0,99.5,100.21,,,,,foraminiferal,nannofossil ooze,,foraminiferal nannofossil ooze,,,N 9 (white),,,,,,silt [W22_1],2,,,absent,0,Several thin green laminae,,,,,,,,,,foraminiferal nannofossil ooze,nannofossil ooze,,,,371,U1510,A,11,H,7,A
371-U1510A-11H-CC-A,0.0,14.0,100.21,100.35,,,,,foraminiferal,nannofossil ooze,,foraminiferal nannofossil ooze,,,N 9 (white),,,,,,silt [W22_1],2,,,absent,0,,,,,,,,,,,foraminiferal nannofossil ooze,nannofossil ooze,,,,371,U1510,A,11,H,CC,A
371-U1510A-12H-1-A,0.0,145.0,100.0,101.45,,,,,,nannofossil ooze,with foraminifers [2014],nannofossil ooze with foraminifers,,,N 9 (white),,,,,,silt [W22_1],2,,,absent,0,,,,,,,,,,,nannofossil ooze,nannofossil ooze with foraminifers,,,,371,U1510,A,12,H,1,A
371-U1510A-12H-2-A,0.0,150.0,101.5,103.0,,,,,,nannofossil ooze,with foraminifers [2014],nannofossil ooze with foraminifers,,,N 9 (white),,,,,,silt [W22_1],2,,,absent,0,Subtly darker (N 8.5) interval with a sharp base and gradational top at ~130 to 142.,,,,,,,,,,nannofossil ooze,nannofossil ooze with foraminifers,,,,371,U1510,A,12,H,2,A
371-U1510A-12H-3-A,0.0,150.0,103.0,104.5,,,,,,nannofossil ooze,with foraminifers [2014],nannofossil ooze with foraminifers,,,N 9 (white),,,,,,silt [W22_1],2,,,absent,0,"Sulfide bleb at 86-88, smear slide indicates volcanic ash also. Subtly darker (N 8.5) interval with a sharp base and gradational top at ~12 to 19cm.",,,,,,,,,,nannofossil ooze,nannofossil ooze with foraminifers,,,,371,U1510,A,12,H,3,A
371-U1510A-12H-4-A,0.0,150.0,104.5,106.0,,,,,,nannofossil ooze,with foraminifers [2014],nannofossil ooze with foraminifers,,,N 9 (white),,,,,,silt [W22_1],2,,,absent,0,Several darker (sulfide?) intervals and blebs,,,,,,,,,,nannofossil ooze,nannofossil ooze with foraminifers,,,,371,U1510,A,12,H,4,A
371-U1510A-12H-5-A,0.0,150.0,106.0,107.5,,,,,,nannofossil ooze,with foraminifers [2014],nannofossil ooze with foraminifers,,,N 9 (white),,,,,,silt [W22_1],2,,,absent,0,Pale green lamina at 40 cm,,,,,,,,,,nannofossil ooze,nannofossil ooze with foraminifers,,,,371,U1510,A,12,H,5,A
371-U1510A-12H-6-A,0.0,135.0,107.5,108.85,,,,,,nannofossil ooze,with foraminifers [2014],nannofossil ooze with foraminifers,,,N 9 (white),,,,,,silt [W22_1],2,,,absent,0,Concentration of sulfidic blebs at 40-57. Pale Green lamina at 93 and 106.,,,,,,,,,,nannofossil ooze,nannofossil ooze with foraminifers,,,,371,U1510,A,12,H,6,A
371-U1510A-12H-7-A,0.0,52.0,108.9,109.42,,,,,,nannofossil ooze,with foraminifers [2014],nannofossil ooze with foraminifers,,,N 9 (white),,,,,,silt [W22_1],2,,,absent,0,Several pale green laminae,,,,,,,,,,nannofossil ooze,nannofossil ooze with foraminifers,,,,371,U1510,A,12,H,7,A
371-U1510A-12H-CC-A,0.0,13.0,109.42,109.55,,,,,,nannofossil ooze,with foraminifers [2014],nannofossil ooze with foraminifers,,,N 9 (white),,,,,,silt [W22_1],2,,,absent,0,Sulfidic bleb at 8cm.,,,,,,,,,,nannofossil ooze,nannofossil ooze with foraminifers,,,,371,U1510,A,12,H,CC,A
371-U1510A-13H-1-A,0.0,145.0,109.5,110.95,,,,,,nannofossil ooze,with foraminifers [2014],nannofossil ooze with foraminifers,,,N 9 (white),,,,,,silt [W22_1],2,,,absent,0,Sulfidic bleb at 27cm. Pale green lamina at 96 cm,,,,,,,,,,nannofossil ooze,nannofossil ooze with foraminifers,,,,371,U1510,A,13,H,1,A
371-U1510A-13H-2-A,0.0,150.0,111.0,112.5,,,,,,nannofossil ooze,with foraminifers [2014],nannofossil ooze with foraminifers,,,N 9 (white),,,,,,silt [W22_1],2,,,absent,0,Several darker (sulfide?) blebs at 53-61 cm,,,,,,,,,,nannofossil ooze,nannofossil ooze with foraminifers,,,,371,U1510,A,13,H,2,A
371-U1510A-13H-3-A,0.0,150.0,112.5,114.0,,,,,,nannofossil ooze,with foraminifers [2014],nannofossil ooze with foraminifers,,,N 9 (white),,,,,,silt [W22_1],2,,,absent,0,Several darker (sulfide?) intervals and blebs at 11-15cm and 131-140. smear slide indicates ? also.,,,,,,,,,,nannofossil ooze,nannofossil ooze with foraminifers,,,,371,U1510,A,13,H,3,A
371-U1510A-13H-4-A,0.0,150.0,114.0,115.5,,,,,,nannofossil ooze,with foraminifers [2014],nannofossil ooze with foraminifers,,,N 9 (white),,,,,,silt [W22_1],2,,,absent,0,Subtly darker (N 8.5) interval with a sharp base and gradational top at ~55 to 45cm. Concentration of sulfidic blebs at 62-140 cm. Pale Green lamina at 141cm.,,,,,,,,,,nannofossil ooze,nannofossil ooze with foraminifers,,,,371,U1510,A,13,H,4,A
371-U1510A-13H-5-A,0.0,150.0,115.5,117.0,,,,,,nannofossil ooze,with foraminifers [2014],nannofossil ooze with foraminifers,,,N 9 (white),,,,,,silt [W22_1],2,,,absent,0,"Concentration of sulfidic blebs at 67-125 cm. Pale Green lamina at 39, 88 and 120cm.",,,,,,,,,,nannofossil ooze,nannofossil ooze with foraminifers,,,,371,U1510,A,13,H,5,A
371-U1510A-13H-6-A,0.0,145.0,117.0,118.45,,,,,,nannofossil ooze,with foraminifers [2014],nannofossil ooze with foraminifers,,,N 9 (white),,,,,,silt [W22_1],2,,,absent,0,Several thin green laminae,,,,,,,,,,nannofossil ooze,nannofossil ooze with foraminifers,,,,371,U1510,A,13,H,6,A
371-U1510A-13H-7-A,0.0,71.0,118.5,119.21,,,,,,nannofossil ooze,with foraminifers [2014],nannofossil ooze with foraminifers,,,N 9 (white),,,,,,silt [W22_1],2,,,absent,0,Several thin green laminae,,,,,,,,,,nannofossil ooze,nannofossil ooze with foraminifers,,,,371,U1510,A,13,H,7,A
371-U1510A-13H-CC-A,0.0,36.0,119.21,119.57,,,,,,nannofossil ooze,with foraminifers [2014],nannofossil ooze with foraminifers,,,N 9 (white),,,,,,silt [W22_1],2,,,absent,0,Several thin green laminae,,,,,,,,,,nannofossil ooze,nannofossil ooze with foraminifers,,,,371,U1510,A,13,H,CC,A
371-U1510A-14H-1-A,0.0,134.0,119.0,120.34,,,,,,nannofossil ooze,with foraminifers [2014],nannofossil ooze with foraminifers,,,N 8.5 (white),,,,,,silt [W22_1],2,,,absent,0,Occasional pale grey patches,,,,,,,,,,nannofossil ooze,nannofossil ooze with foraminifers,,,,371,U1510,A,14,H,1,A
371-U1510A-14H-2-A,0.0,150.0,120.44,121.94,,,,,,nannofossil ooze,with foraminifers [2014],nannofossil ooze with foraminifers,,,N 8.5 (white),,,,,,silt [W22_1],2,,,absent,0,Occasional pale grey patches,,,,,,,,,,nannofossil ooze,nannofossil ooze with foraminifers,,,,371,U1510,A,14,H,2,A
371-U1510A-14H-3-A,0.0,150.0,121.94,123.44,,,,,,nannofossil ooze,with foraminifers [2014],nannofossil ooze with foraminifers,,,N 9 (white),,,,,,silt [W22_1],2,,,absent,0,Occasional pale grey patches,,,,,,,,,,nannofossil ooze,nannofossil ooze with foraminifers,,,,371,U1510,A,14,H,3,A
371-U1510A-14H-4-A,0.0,150.0,123.44,124.94,,,,,,nannofossil ooze,with foraminifers [2014],nannofossil ooze with foraminifers,,,N 9 (white),,,,,,silt [W22_1],2,,,absent,0,Occasional pale grey patches,,,,,,,,,,nannofossil ooze,nannofossil ooze with foraminifers,,,,371,U1510,A,14,H,4,A
371-U1510A-14H-5-A,0.0,150.0,124.94,126.44,,,,,,nannofossil ooze,with foraminifers [2014],nannofossil ooze with foraminifers,,,N 9 (white),,,,,,silt [W22_1],2,,,absent,0,Occasional pale grey patches,,,,,,,,,,nannofossil ooze,nannofossil ooze with foraminifers,,,,371,U1510,A,14,H,5,A
371-U1510A-14H-6-A,0.0,140.0,126.44,127.84,,,,,,nannofossil ooze,with foraminifers [2014],nannofossil ooze with foraminifers,,,N 9 (white),,,,,,silt [W22_1],2,,,absent,0,,,,,,,,,,,nannofossil ooze,nannofossil ooze with foraminifers,,,,371,U1510,A,14,H,6,A
371-U1510A-14H-7-A,0.0,52.0,127.94,128.46,,,,,,nannofossil ooze,with foraminifers [2014],nannofossil ooze with foraminifers,,,N 9 (white),,,,,,silt [W22_1],2,,,absent,0,,,,,,,,,,,nannofossil ooze,nannofossil ooze with foraminifers,,,,371,U1510,A,14,H,7,A
371-U1510A-14H-CC-A,0.0,15.0,128.46,128.61,,,,,,nannofossil ooze,with foraminifers [2014],nannofossil ooze with foraminifers,,,N 9 (white),,,,,,silt [W22_1],2,,,absent,0,Occasional pale grey patches,,,,,,,,,,nannofossil ooze,nannofossil ooze with foraminifers,,,,371,U1510,A,14,H,CC,A
371-U1510A-15H-1-A,0.0,140.0,128.5,129.9,,,,,foraminiferal,nannofossil ooze,,foraminiferal nannofossil ooze,,,N 9 (white),,,,,,silt [W22_1],2,,,absent,0,,,,,,,,,,,foraminiferal nannofossil ooze,nannofossil ooze,,,,371,U1510,A,15,H,1,A
371-U1510A-15H-2-A,0.0,150.0,130.0,131.5,,,,,foraminiferal,nannofossil ooze,,foraminiferal nannofossil ooze,,,N 9 (white),,,,,,silt [W22_1],2,,,absent,0,,,,,,,,,,,foraminiferal nannofossil ooze,nannofossil ooze,,,,371,U1510,A,15,H,2,A
371-U1510A-15H-3-A,0.0,12.0,131.5,131.62,,,,,foraminiferal,nannofossil ooze,,foraminiferal nannofossil ooze,,,N 9 (white),,,,,,silt [W22_1],2,,,absent,0,,,,,,,,,,,foraminiferal nannofossil ooze,nannofossil ooze,,,,371,U1510,A,15,H,3,A
371-U1510A-15H-3-A,12.0,119.0,131.62,132.69,,,,,,foraminiferal ooze,with nannofossils [2014],foraminiferal ooze with nannofossils,,,N 9 (white),,,,,,fine sand [W22_2],4,,,absent,0,,,,,,,,,,,foraminiferal ooze,foraminiferal ooze with nannofossils,,,,371,U1510,A,15,H,3,A
371-U1510A-15H-3-A,119.0,141.0,132.69,132.91,,,,,,foraminiferal ooze,with nannofossils [2014],foraminiferal ooze with nannofossils,,,2.5Y 8.5/1 (white),bed,,,,,medium sand [W22_2],5,,,absent,0,,,,,,,,,,,foraminiferal ooze,foraminiferal ooze with nannofossils,,,,371,U1510,A,15,H,3,A
371-U1510A-15H-4-A,0.0,45.0,132.91,133.36,,,,,,foraminiferal ooze,with nannofossils [2014],foraminiferal ooze with nannofossils,,,2.5Y 8.5/1 (white),bed,,,,,medium sand [W22_2],5,,,absent,0,,,,,,,,,,,foraminiferal ooze,foraminiferal ooze with nannofossils,,,,371,U1510,A,15,H,4,A
371-U1510A-15H-4-A,45.0,94.0,133.36,133.85,,,,,,foraminiferal ooze,with nannofossils [2014],foraminiferal ooze with nannofossils,,,2.5Y 8.5/1 (white),,,,,,fine sand [W22_2],4,,,absent,0,,,,,,,,,,,foraminiferal ooze,foraminiferal ooze with nannofossils,,,,371,U1510,A,15,H,4,A
371-U1510A-15H-4-A,94.0,113.0,133.85,134.04,,,,,,foraminiferal ooze,with nannofossils [2014],foraminiferal ooze with nannofossils,,,2.5Y 8.5/1 (white),bed,,,,,medium sand [W22_2],5,,,absent,0,,,,,,,,,,,foraminiferal ooze,foraminiferal ooze with nannofossils,,,,371,U1510,A,15,H,4,A
371-U1510A-15H-5-A,0.0,28.0,134.14,134.42,,,,,,foraminiferal ooze,with nannofossils [2014],foraminiferal ooze with nannofossils,,,2.5Y 8.5/1 (white),bed,,,,,medium sand [W22_2],5,,,absent,0,,,,,,,,,,,foraminiferal ooze,foraminiferal ooze with nannofossils,,,,371,U1510,A,15,H,5,A
371-U1510A-15H-5-A,28.0,57.0,134.42,134.71,,,,,,foraminiferal ooze,with nannofossils [2014],foraminiferal ooze with nannofossils,,,2.5Y 8.5/1 (white),,,,,,fine sand [W22_2],4,,,absent,0,,,,,,,,,,,foraminiferal ooze,foraminiferal ooze with nannofossils,,,,371,U1510,A,15,H,5,A
