Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],PF Preservation,% Planktic Foraminifera within whole sample,PF Zone,Comments,Beella digitata,Beella praedigitiata,Bolliella adamsi,Candeina nitida,Cassigerinella chipolensis,Cassigerinella martinezpicoi,Catapsydrax dissimillis,Catapsydrax parvulus,Catapsydrax stainforthi,Catapsydrax unicavus,Clavatorella bermudezi,Dentoglobigerina altispira,Dentoglobigerina altispira globosa,Dentoglobigerina baroemoensis,Dentoglobigerina larmeui,Dentoglobigerina tripartita s. str.,Dentoglobigerina spp.,Globigerina anguliofficinalis,Globigerina angustiumbilicata,Globigerina bulloides,Globigerina ciperoensis,Globigerina eamesi,Globigerina euapertura,Globigerina falconensis,Globigerina gnaucki,Globigerina officinalis,Globigerina praebulloides,Globigerina quinqueloba,Globigerina winkleri,Globigerinatella insueta,Globigerinella calida,Globigerinella obesa,Globigerinella praesiphonifera,Globigerinella siphonifera,Globigerinella spp.,Globigerinita boweni,Globigerinita glutinata,Globigerinita naparimaensis,Globigerinita uvula,Globigerinoides altiaperturus,Globigerinoides bisphericus,Globigerinoides conglobatus,Globigerinoides diminutus,Globigerinoides extremus,Globigerinoides fistulosus,Globigerinoides immaturus,Globigerinoides mitra,Globigerinoides obliquus,Globigerinoides primordius,Globigerinoides quadrilobatus,Globigerinoides ruber,Globigerinoides ruber (pink),Globigerinoides sacculifer,Globigerinoides subquadratus,Globigerinoides trilobus,Globoquadrina binaiensis,Globoquadrina cf. binaiensis,Globoquadrina conglomerata,Globoquadrina dehiscens,Globoquadrina sellii,Globoquadrina venezuelana,Globorotalia (Fohsella) fohsi,Globorotalia (Forsella) fohsi lobata,Globorotalia (Fohsella) fohsi robusta,Globorotalia (Fohsella) peripheroacuta,Globorotalia (Fohsella) peripheroronda,Globorotalia (Fohsella) praefohsi,Globorotalia (Globoconella) conoidea,Globorotalia (Globoconella) conomiozea,Globorotalia (Globoconella) inflata,Globorotalia (Globoconella) miozea,Globorotalia (Globoconella) puncticulata,Globorotalia (Globoconella) sphericomiozea,Globorotalia (Hirsutella) cibaoenisis,Globorotalia (Hirsutella) hirsuta,Globorotalia (Hirsutella) margaritae,Globorotalia (Hirsutella) praemargaritae,Globorotalia (Hirsutella) scitula,Globorotalia (Menardella) archeomenardii,Globorotalia (Menardella) cultrata,Globorotalia (Menardella) exilis,Globorotalia (Menardella) fimbriata,Globorotalia (Menardella) limbata,Globorotalia (Menardella) menardii,Globorotalia (Menardella) multicamerata,Globorotalia (Menardella) pertenuis,Globorotalia (Menardella) praemenardii,Globorotalia (Truncorotalia) tosaensis,Globorotalia (Truncorotalia) truncatulinoides,Globorotalia birnageae,Globorotalia crassaformis crassaformis,Globorotalia crassaformis hessi,Globorotalia crassaformis oceanica,Globorotalia crassaformis ronda,Globorotalia crassaformis viola,Globorotalia flexuosa,Globorotalia ichinosekiensis,Globorotalia iwaiensis,Globorotalia lenguaensis,Globorotalia merotumida,Globorotalia plesiotumida,Globorotalia praescitula,Globorotalia pseudomiocenica,Globorotalia tumida,Globorotalia ungulata,Globorotaloides hexagona,Globorotaloides suteri,Globorotaloides variabilis,Globoturborotalita decoraperta,Globoturborotalita druryi,Globoturborotalita nepenthes,Globoturborotalita rubescens,Globoturborotalita woodi,Globoturborotalita woodi connecta,Hastigerina pelagica,Mutabella mirabilis,Neogloboquadrina acostaensis (D),Neogloboquadrina acostaensis (S),Neogloboquadrina asanoi,Neogloboquadrina dutertrei,Neogloboquadrina humerosa,Neogloboquadrina pachyderma,Neogloboquadrina praeatlantica,Neogloboquadrina pseudopima,Orbulina suturalis,Orbulina universa,Paragloborotalia bella,Paragloborotalia continuosa,Paragloborotalia kugleri,Paragloborotalia mayeri (S),Paragloborotalia mayeri (D),Paragloborotalia mayeri,Paragloborotalia nana,Paragloborotalia partimlabiata,Paragloborotalia pseudocontinuosa (S),Paragloborotalia pseudocontinuosa (D),Paragloborotalia pseudocontinuosa,Paraglobrotalia pseudokugleri,Paragloborotalia semivera (S),Paragloborotalia semivera (D),Paragloborotalia semivera,Paragloborotalia siakensis,Paragloborotalia siakensis (S),Paragloborotalia siakensis (D),Praeobulina glomerosa,Praeorbulina circularis,Praeorbulina curva,Praeorbulina sicana,Praeorbulina transitoria,Pulleniatina finalis,Pulleniatina obliquiloculata (D),Pulleniatina obliquiloculata (S),Pulleniatina praecursor,Pulleniatina praespectabilis,Pulleniatina primalis (D),Pulleniatina primalis (S),Pulleniatina spectabilis,Sphaeroidinella dehiscens s.l.,Sphaeroidinellopsis hancocki,Sphaeroidinellopsis multiloba,Sphaeroidinellopsis seminulina,Sphaeroidnellopsis disjuncta,Tenuitella angustiumbilicata,Tenuitella clemenciae,Tenuitella gemma,Tenuitella munda,Tenuitellinata praestainforthi,Turborotalita humilis,Zone,Zone group
321-U1338A-12H-CC-PAL,321,U1338,A,12,12-CC,H,CC,PAL,,0,0,107.64,107.64,G,58,M14,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,R,,R,,A,,,,,F,,F,,,,R,,F,,,,,,,,,,,,,,,P,,,,,,,,A,,,,,,,,,,,,,,,,P,A,,R,,,P,,,,,P,,,,,,P,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,
321-U1338A-13H-2-W 105/107-FORAM66,321,U1338,A,13,13-2,H,2,W,105/107-FORAM66,0,0,109.75,109.75,M,3,M13b,,,,,,,,,,,,,R,,P,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,P,,P,,F,,F,,,R,,F,,,,,,A,,,,,,,,,,,,,,,,,P,,,,,,A,,,P,,,,,,,,,,,,,P,R,,P,,,P,,,,,P,,,,,,P,,,,,,,,R,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,
321-U1338A-13H-5-W 44/46-FORAM67,321,U1338,A,13,13-5,H,5,W,44/46-FORAM67,0,0,113.64,113.64,M,26,M13b,dissolution,,,,,,,,,,,,F,,,,,,,,,,,,P,,,,,,,,,,,,,P,,,,,,,R,,R,,F,,R,,,F,,R,,,,R,,A,,,,,,,,,,,,,,,,,P,,,,,,A,,,R,,,,,,,,,,,,,P,R,,,,,R,,R,P,,P,,,,,,P,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,
321-U1338A-13H-CC-PAL,321,U1338,A,13,13-CC,H,CC,PAL,,0,0,117.09,117.09,G,49,M13b,,,,,,,,,,,,,A,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,R,,,,,P,,,,,,,,R,,,,,,,,,,,,,,,,,P,,,,,,R,,,,,,,,,,,,,,,P,P,R,,,,,P,,,P,,P,,P,,,,P,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,
321-U1338A-14H-2-W 50/52-FORAM23,321,U1338,A,14,14-2,H,2,W,50/52-FORAM23,0,0,118.7,118.7,G,31,M13b,diatom rich,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,R,,R,,,,,R,,,,,,A,,,,,,,,,,,,,,,,,,,P,,,,A,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,
321-U1338A-14H-4-W 49/51-FORAM24,321,U1338,A,14,14-4,H,4,W,49/51-FORAM24,0,0,121.69,121.69,M,25,M13b,,,,,,,,,,,,,A,,P,,,,,,P,,,,,,,,,,,,,,R,,,,,,,,,,R,,R,,F,,R,,,R,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,P,R,,,,,P,,,P,,P,,,,,,,P,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,
321-U1338A-14H-CC-PAL,321,U1338,A,14,14-CC,H,CC,PAL,,0,0,126.8,126.8,M,10,M13b,surface dissolution,,,,,,,,,,,,P,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,F,,A,,,,,R,,F,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,R,A,,,,,R,,,P,,,,,,,,P,,,,R,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,
321-U1338A-15H-2-W 58/60-FORAM59,321,U1338,A,15,15-2,H,2,W,58/60-FORAM59,0,0,128.28,128.28,M,24,M13b,slightly colored,,,,,,,,,,,,A,P,R,,,,,,P,,,,,,,,P,,,,,,,,,,,,,,,,,,R,,F,,R,,,R,,R,,,,P,,A,,,,,,,,,,,,,P,,,,,,P,,,,A,,,,,,,,,,,,,,,,P,R,,,,,P,,,P,,P,,,,,,P,,,,,,,,P,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,
321-U1338A-15H-4-W 118/120-FORAM61,321,U1338,A,15,15-4,H,4,W,118/120-FORAM61,0,0,131.88,131.88,M,45,M13b,,,,,,,,,,,,,F,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,F,,R,,,R,,R,,,,,,A,,,,,,,,,,,,,,,,,P,,,,,,A,,,,,,,,,,,,,,,,P,F,,,,,R,,,,,,,,,,,P,P,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,
321-U1338A-15H-CC-PAL,321,U1338,A,15,15-CC,H,CC,PAL,,0,0,135.68,135.68,G,25,M13b,,,,,,,,,,,,,A,R,,,,,,,P,,,,,,,,,,,,R,,R,,,P,,,,,,,R,,R,,A,,R,,,P,,R,,,,P,,A,,,,,,,,,,,,,,,,,P,,,,,,A,,,,,,,,,,,,,,,P,R,A,,,,,P,,P,,,,,,,,,P,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,
321-U1338A-16H-2-W 45/47-FORAM66,321,U1338,A,16,16-2,H,2,W,45/47-FORAM66,0,0,137.65,137.65,M,31,M13b,surface dissolution,,,,,,,,,,,,D,R,R,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,R,,R,,R,,,,,R,,R,,,,,,R,,,,,,,,,,,,,,,,,P,,,,,,A,,,,,,,,,,,,,,,,,F,,,,,R,,P,,,,,,,,,P,P,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,
321-U1338A-16H-4-W 44/46-FORAM72,321,U1338,A,16,16-4,H,4,W,44/46-FORAM72,0,0,140.64,140.64,P,38,M13b,dissolution,,,,,,,,,,,,D,R,R,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,R,,F,,P,,,,,F,,,,,,R,,,,,,,,,,,,,,,,,,,P,,,,R,,,P,,,,,,,,,,,,,P,R,,,,,P,,,P,,P,,,,,,P,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,
321-U1338A-16H-CC-PAL,321,U1338,A,16,16-CC,H,CC,PAL,,0,0,145.69,145.69,M,36,M13b,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,P,,P,,,,,,,,,,R,,A,,F,,A,P,,F,,F,,,,,,A,,,,,,,,,,,,,,,,P,,,P,,,,A,,,P,,,,,,,,,,,,,R,R,,,,,,,P,P,,,,,,,,P,,,,R,,P,,P,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,
321-U1338A-17H-2-W 71/73-FORAM65,321,U1338,A,17,17-2,H,2,W,71/73-FORAM65,0,0,147.41,147.41,M,8,M13b,infilled,,,,,,,,,,,,A,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,R,,A,,P,,,R,,P,,,,,,A,,,,,,,P,,,,,,,,,,,,P,,,,A,,,,,,,,,,,,,,,,P,P,,,,,P,,,P,,P,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,
321-U1338A-17H-4-W 22/24-FORAM79,321,U1338,A,17,17-4,H,4,W,22/24-FORAM79,0,0,149.92,149.92,M,4,M13b,,,,,,,,,,,,,A,,P,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,P,,A,,R,,,F,,P,,,,,,A,,,,,,,,,,,,,,,,,,,P,,,,,,,P,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,
321-U1338A-17H-CC-PAL,321,U1338,A,17,17-CC,H,CC,PAL,,0,0,155.26,155.26,M,10,M13b,surface dissolution,,,,,,,,R,,,,F,P,R,,,,,,,,,,,,,,,,,,R,,,,,P,,,,,,,,,R,,R,,R,,,,,R,,,,,,D,,,,,,,,,,,,,,,,,P,,,,,,P,,,,,,,,,,,,,,,,P,,,,,,,,P,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,
321-U1338A-18H-2-W 51/53-FORAM21,321,U1338,A,18,18-2,H,2,W,51/53-FORAM21,0,0,156.71,156.71,M,0,M13b,encrusted,,,,,,,,,,,,A,R,R,,,,,,R,,,,R,,,,,,,,,,,,,,,,,,,,,,A,,A,,A,,,F,,A,,,,,,F,,,,,,,,,,,,,,,,,P,,,,,,R,,,P,,,,,,,,,,,,,P,,,,,,,,,P,,P,,,,,,P,,,,,,P,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321-U1338A-18H-4-W 53/55-FORAM24,321,U1338,A,18,18-4,H,4,W,53/55-FORAM24,0,0,159.73,159.73,M,3,M13b,encrusted,,,,,,,,,,,,R,,,,,,,,R,,,,,,,,,,,,,,,,,R,,,,,,,,,R,,A,,F,,,F,,F,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,A,,,A,,,,,,,,,,,,P,R,R,,,,,,,,P,R,P,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,
321-U1338A-18H-CC-PAL,321,U1338,A,18,18-CC,H,CC,PAL,,0,0,164.6,164.6,G,31,M13b,,,,,,,,,,,,,P,,R,,,,,,,,,,,,,,,,,,P,,R,,,,,,,,,,,,R,,A,,F,,,R,,A,,,,,,A,,,,,,,,,,,,,,,,,P,,P,,,,A,,,,,,,,,,,,,,,,P,,,,,,,,P,P,,P,,,,,,,,,,,,P,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,
321-U1338A-19H-2-W 70/72-FORAM82,321,U1338,A,19,19-2,H,2,W,70/72-FORAM82,0,0,166.4,166.4,P,8,M13b,infilled,,,,,,,,,,,,R,,,,,,,,P,,,,R,,,,,,,,,,,,,,,,,,,,,,R,,A,,R,,,R,,R,,,,,,A,,,,,,,,,,,,,,,,,,,P,,,,F,,,A,,,,,,,,,,,,,P,P,,,,,,,P,,,P,,,,,,P,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,
321-U1338A-19H-2-W 70/72-FORAM85,321,U1338,A,19,19-2,H,2,W,70/72-FORAM85,0,0,166.4,166.4,P,2,M13b,infilled,,,,,,,,,,,,R,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,F,,A,,,A,,F,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,R,,,P,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,P,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,
321-U1338A-19H-CC-PAL,321,U1338,A,19,19-CC,H,CC,PAL,,0,0,173.79,173.79,M,56,M13b,surface dissolution,,,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,P,,F,,R,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,F,,,R,,,,,,,,,,,,,R,,,,,,,,R,,,P,,P,,,,,,,,,,,,P,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,
321-U1338A-20H-2-W 56/58-FORAM82,321,U1338,A,20,20-2,H,2,W,56/58-FORAM82,0,0,175.76,175.76,M,11,M13b,infilled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,P,,,,,,,,,R,,F,,A,R,,,,R,,,,P,,D,,,,,,,P,,,,,,,,,P,P,,,,,,R,,,P,,,,,,,,,,,,P,R,,,,,,R,,,P,,,,,,,,,P,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,
321-U1338A-20H-5-W 56/58-FORAM83,321,U1338,A,20,20-5,H,5,W,56/58-FORAM83,0,0,180.26,180.26,M,12,M13b,dissolution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,P,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,
321-U1338A-20H-CC-PAL,321,U1338,A,20,20-CC,H,CC,PAL,,0,0,183.71,183.71,P,16,M13b,dissolution,,,,,,,,,,,,R,R,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,F,,A,,,R,,F,,,,,,A,,,,,,,,,,,,,,,,,,,P,,,,R,,,P,,,,,,,,,,,,,,,,,,,,,,,,P,,R,,,,,P,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,
321-U1338A-21H-2-W 39/41-FORAM29,321,U1338,A,21,21-2,H,2,W,39/41-FORAM29,0,0,185.09,185.09,M,4,M13b,infilled,,,,,,,,P,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,F,,,R,,R,,,,R,,A,,,,,,,,,,P,,,,,,,,,P,,,,A,,,R,,,,,,,,,,,,,A,F,,,,,,,,,P,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,
321-U1338A-21H-5-W 50/52-FORAM32,321,U1338,A,21,21-5,H,5,W,50/52-FORAM32,0,0,189.7,189.7,M,3,M13a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,
321-U1338A-21H-CC-PAL,321,U1338,A,21,21-CC,H,CC,PAL,,0,0,192.95,192.95,M,21,M13a,surface dissolution,,,,,,,,,,,,R,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,R,,,,,,F,,,,,,,R,,,R,,,,,,,,,,,,,F,,,F,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,
321-U1338A-22H-2-W 51/53-FORAM29,321,U1338,A,22,22-2,H,2,W,51/53-FORAM29,0,0,194.71,194.71,G,14,M13a,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,F,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,A,,,R,,,,,,,,,,,,,,,,,,,,,R,,,R,,R,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,
321-U1338A-22H-5-W 41/43-FORAM32,321,U1338,A,22,22-5,H,5,W,41/43-FORAM32,0,0,199.11,199.11,P,0,M13a,dissolution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,
321-U1338A-22H-CC-PAL,321,U1338,A,22,22-CC,H,CC,PAL,,0,0,202.58,202.58,B,0,-,Thick-walled BF only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321-U1338A-23H-2-W 14/16-FORAM89,321,U1338,A,23,23-2,H,2,W,14/16-FORAM89,0,0,203.84,203.84,B,0,-,Thick-walled BF only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321-U1338A-23H-5-W 117/119-FORAM92,321,U1338,A,23,23-5,H,5,W,117/119-FORAM92,0,0,209.37,209.37,P,1,M13a,dissolution,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,
321-U1338A-23H-CC-PAL,321,U1338,A,23,23-CC,H,CC,PAL,,0,0,212.16,212.16,B,0,-,Diatom ooze with radiolarians. Barren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321-U1338A-24H-2-W 50/52-FORAM42,321,U1338,A,24,24-2,H,2,W,50/52-FORAM42,0,0,213.7,213.7,M,0,M13a,"colored, dissolved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,P,,,,,,,P,,P,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,
321-U1338A-24H-5-W 143/145-FORAM43,321,U1338,A,24,24-5,H,5,W,143/145-FORAM43,0,0,219.13,219.13,P,3,M13a,dissolution,,,,,,,,,,,,P,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,
321-U1338A-24H-CC-PAL,321,U1338,A,24,24-CC,H,CC,PAL,,0,0,221.64,221.64,P,0,-,dissolution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,
321-U1338A-25H-3-W 9/11-FORAM91,321,U1338,A,25,25-3,H,3,W,9/11-FORAM91,0,0,224.31,224.31,M,7,M13a,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,P,,,,,,P,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,P,,,,,,,,
321-U1338A-25H-6-W 5/7-FORAM92,321,U1338,A,25,25-6,H,6,W,5/7-FORAM92,0,0,228.79,228.79,M,26,M11,surface dissolution,,,,,,,,,,,,R,,A,,,,,,,,,,P,,,,,,,,,,,,,P,,,,,,,,,R,,R,,R,,,,,R,,,,,,D,,,,,,,,,,P,,,,,,,P,,P,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,P,P,P,,,,,,,,,,,,P,,R,,,,,R,,,,P,,,,,,,,,P,,,,,,,,,,,,,,,,,,A,R,,,,,,,,
321-U1338A-25H-CC-PAL,321,U1338,A,25,25-CC,H,CC,PAL,,0,0,231.12,231.12,G,4,M11,Diverse,,,,,,,,,,,,,,P,R,,,,,F,,,,,,,,,,,,,R,,,,,,,,,,,,,,,P,,A,,,,,A,,,,P,,A,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,P,,R,,,,,,,,,,,,P,F,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,
321-U1338A-26H-2-W 50/52-FORAM32,321,U1338,A,26,26-2,H,2,W,50/52-FORAM32,0,0,232.7,232.7,G,15,M11,,,,,,,,,,,,,,,R,,,,,,,,,,R,,,,,,,,F,,,,,,,,,,,,,,A,,R,,F,,,A,,A,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,R,,,,,,,,,,,R,R,F,F,,,,,,,,,,,,R,,R,,,,,R,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,F,,,,,,,,,
321-U1338A-26H-6-W 130/132-FORAM39,321,U1338,A,26,26-6,H,6,W,130/132-FORAM39,0,0,239.5,239.5,M,13,M11,slightly infilled,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,P,,,P,,,,,,,,,,,,,,,P,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,
321-U1338A-26H-CC-PAL,321,U1338,A,26,26-CC,H,CC,PAL,,0,0,240.64,240.64,P,0,M11,Infilled and encrusted,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,
321-U1338A-27X-2-W 15/17-FORAM53,321,U1338,A,27,27-2,X,2,W,15/17-FORAM53,0,0,241.85,241.85,M,13,M11,fragmentation,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,P,,,,P,,P,,,,,,,,,,,,,,,,,P,,,,,,,,,P,,,,,,,,,,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,P,,P,,,,P,,,,,,,,,P,,,,,,,,,,,,,,,,,,,P,,,,,,,,
